Sample,Latitude,Longitude,Amphistegina,Heterostegina,Peneroplis,Alveolinida,Soritida,Other Miliolida,Ammonia,Textulariida,Bolivinida,Elphidium,Depth ,absolute abundance
1,21.50441,-157.80231,94,2,1,1,2,0,0,0,0,0,14,50
2,21.49284,-157.79793,90.9,8.4,0,0,0.7,0,0,0,0,0,12,7.15
3,21475,-157.7988,74.2,0,13.6,0,12.1,0,0,0,0,0,1.5,3.3
4,21.46843,-157.77818,46.5,17.5,28,0,4.5,2.5,0.5,0,0,0.5,11,20
5,21.47446,-157.80177,98.8,0,1.2,0,0,0,0,0,0,0,2,4.2
6,21.46235,-157.77739,87.5,4.2,2.1,0,6.3,0,0,0,0,0,2,2.4
7,21.4699,-157.8186,0,0,25,0,31.3,43.8,0,0,0,0,5,1.6
8,21.4588,-157.8019,0,0,24.1,0,24.1,49.4,2.4,0,0,0,1,4.15
9,21.4566,-157.8009,0,0,0,0,20,60,0,0,20,0,0.5,1
10,21.4566,157.8101,0,0,11.1,0,33.3,44.4,0,0,11.1,0,0.5,0.9
11,21449,-157782,3.5,0,7.5,0,1,74,14,0,0,0,3,40
12,21453,-157801,0,0,3.5,0,1,93,2,0.5,0,0,6,133.33
13,21.431569,-157.78689,0,0,1,0,0,94,1.5,0.5,1,0,14,100
